Ano,N_Trades,Win_Rate,PnL_Medio,PnL_Total,Sharpe,MaxDD,Dur_Media,PnL_Bruto,Custo_Total
2012,75.0,0.5733,-0.010077,-0.755781,-2.0233,-1.0985,6.4,-0.605781,0.15
2013,32.0,0.7812,0.023512,0.752385,10.4441,-0.0656,5.3,0.816385,0.064
2014,51.0,0.549,0.00245,0.124929,0.7306,-0.3994,5.8,0.226929,0.102
2015,124.0,0.4677,0.006358,0.788409,1.5122,-0.433,3.8,1.036409,0.248
2016,131.0,0.6641,0.006101,0.799295,1.768,-0.449,3.7,1.061295,0.262
2017,72.0,0.625,0.006674,0.480499,2.0531,-0.4151,4.8,0.624499,0.144
2018,61.0,0.4918,0.00889,0.542313,0.9677,-0.7962,5.0,0.664313,0.122
2019,25.0,0.52,0.027559,0.688987,2.5686,-0.4277,5.8,0.738987,0.05
2020,162.0,0.5432,0.001411,0.228629,0.2174,-0.7787,4.5,0.552629,0.324
2021,49.0,0.5306,0.003492,0.17109,1.0031,-0.1981,5.6,0.26909,0.098
2022,29.0,0.5862,0.01555,0.450939,4.9928,-0.2207,7.6,0.508939,0.058
2023,90.0,0.4,-0.006585,-0.592692,-0.6257,-1.4446,3.5,-0.412692,0.18
2024,65.0,0.5692,0.001086,0.070601,0.3324,-0.4008,5.9,0.200601,0.13
2025,81.0,0.3827,-0.011763,-0.952812,-2.9572,-1.2354,4.4,-0.790812,0.162
