Ativo_A,Ativo_B,N_Trades,Win_Rate,PnL_Medio,PnL_Total,Sharpe,MaxDD,Dur_Media,PnL_Bruto,Custo_Total
AXIA3,AXIA6,2.0,1.0,0.022355,0.04471,45.8746,0.0,2.5,0.04871,0.004
GRND3,KROT11,2.0,1.0,0.037196,0.074392,35.8175,0.0,2.0,0.078392,0.004
VIVT3,VIVT4,4.0,1.0,0.028005,0.112021,31.9411,0.0,2.2,0.120021,0.008
LAME4,RENT3,3.0,1.0,0.05676,0.170281,25.2765,0.0,5.0,0.176281,0.006
BBDC3,IGTA3,2.0,1.0,0.053586,0.107172,23.6607,0.0,4.0,0.111172,0.004
ALSC3,IGTA3,3.0,1.0,0.030043,0.09013,23.4886,0.0,1.7,0.09613,0.006
TFCO4,VIVA3,2.0,1.0,0.021374,0.042747,19.9043,0.0,4.5,0.046747,0.004
ITSA3,ITSA4,4.0,1.0,0.015044,0.060177,19.4692,0.0,2.5,0.068177,0.008
NEOE3,SAPR11,2.0,1.0,0.007995,0.015991,19.3404,0.0,6.0,0.019991,0.004
POMO3,POMO4,2.0,1.0,0.017891,0.035783,14.1396,0.0,2.0,0.039783,0.004
BRAP3,BRAP4,13.0,0.8462,0.022175,0.288271,13.5185,-0.0398,3.7,0.314271,0.026
CTAX4,LOGN3,6.0,0.8333,0.041579,0.249473,11.9357,-0.054,4.5,0.261473,0.012
BRML3,IGTA3,6.0,0.6667,0.011738,0.070425,11.6221,-0.008,4.2,0.082425,0.012
BRSR6,SANB4,5.0,0.8,0.026482,0.132409,9.4594,0.0,4.8,0.142409,0.01
EZTC3,MTRE3,7.0,0.8571,0.048286,0.338001,9.3943,-0.1233,7.3,0.352001,0.014
DAYC4,PINE4,13.0,0.6923,0.01722,0.22386,9.0879,-0.0447,7.2,0.24986,0.026
NEXP3,PINE4,9.0,0.6667,0.071253,0.641279,8.447,-0.1224,5.9,0.659279,0.018
LREN3,RENT3,5.0,0.6,0.024719,0.123595,8.159,-0.0176,3.6,0.133595,0.01
SANB11,SANB4,27.0,0.8519,0.013129,0.35447,8.0848,-0.1016,4.4,0.40847,0.054
CMIG4,CPLE3,2.0,0.5,0.08269,0.165379,7.129,-0.0475,24.5,0.169379,0.004
DAYC4,NEXP3,2.0,0.5,0.028903,0.057805,6.725,-0.0193,3.0,0.061805,0.004
CPLE3,TAEE11,9.0,0.5556,0.024858,0.223718,6.3228,-0.1026,4.0,0.241718,0.018
CYRE3,RIAA3,8.0,0.625,0.025296,0.202364,5.7312,-0.0751,6.9,0.218364,0.016
KLBN11,KLBN4,23.0,0.8261,0.008149,0.187417,5.6546,-0.0894,4.0,0.233417,0.046
B3SA3,ITSA4,7.0,0.4286,0.018972,0.132802,5.6223,-0.0418,8.1,0.146802,0.014
OIBR3,OIBR4,8.0,0.625,0.023678,0.189425,5.2518,-0.0732,3.1,0.205425,0.016
KEPL3,MOTV3,2.0,0.5,0.045292,0.090584,5.1089,0.0,1.5,0.094584,0.004
LREN3,MRVE3,6.0,0.5,0.014735,0.08841,4.3206,-0.0663,9.0,0.10041,0.012
CPFE3,ENBR3,3.0,0.6667,0.007718,0.023155,4.2562,0.0,3.0,0.029155,0.006
CPLE3,CPLE6,33.0,0.7576,0.005854,0.193176,3.6701,-0.0729,3.1,0.259176,0.066
BRPR3,GSHP3,14.0,0.6429,0.007902,0.110627,3.4432,-0.0962,5.6,0.138627,0.028
COGN3,VIVA3,12.0,0.5833,0.010972,0.131664,3.4361,-0.1158,4.0,0.155664,0.024
CPLE6,TAEE11,9.0,0.5556,0.015595,0.140354,3.1454,-0.1863,3.8,0.158354,0.018
CYRE3,MYPK3,4.0,0.5,0.007486,0.029942,2.7229,-0.0545,6.0,0.037942,0.008
AZZA3,HBOR3,7.0,0.5714,0.010998,0.076989,2.6565,-0.1547,6.0,0.090989,0.014
ETER3,VLID3,28.0,0.5357,0.023973,0.67125,2.6052,-0.3296,2.8,0.72725,0.056
ALPA4,EVEN3,19.0,0.6316,0.009834,0.186838,2.5326,-0.1775,4.7,0.224838,0.038
BRSR6,GSHP3,18.0,0.5556,0.012178,0.219197,2.4989,-0.1728,5.7,0.255197,0.036
VLID3,WEGE3,5.0,0.8,0.015178,0.075889,2.4355,-0.1543,10.0,0.085889,0.01
CTAX3,VLID3,21.0,0.381,0.036417,0.76476,2.3648,-0.5595,5.1,0.80676,0.042
BRPR3,PINE4,39.0,0.4103,0.018528,0.722594,1.5455,-0.8909,1.8,0.800594,0.078
BBAS3,BRSR6,4.0,0.5,0.008819,0.035278,1.4846,-0.0198,6.2,0.043278,0.008
CPFE3,EQTL3,7.0,0.5714,0.002174,0.015218,1.4607,-0.0303,2.1,0.029218,0.014
EQTL3,TAEE11,2.0,0.5,0.007055,0.014111,1.1677,0.0,7.0,0.018111,0.004
