Setor,N_Trades,Win_Rate,PnL_Medio,PnL_Total,Sharpe,MaxDD,Dur_Media,PnL_Bruto,Custo_Total
Comunicações,13.0,0.7692,0.02736,0.355682,7.7934,-0.0732,2.8,0.381682,0.026
Bens industriais,126.0,0.5397,0.011692,1.473134,1.3246,-0.9162,4.8,1.725134,0.252
Financeiro,235.0,0.5702,0.008103,1.904202,1.1518,-1.3053,4.5,2.374202,0.47
Materiais básicos,69.0,0.5652,0.001889,0.130348,0.909,-0.2852,3.9,0.268348,0.138
Consumo não cíclico,11.0,0.4545,0.003024,0.033262,0.6512,-0.1176,5.0,0.055262,0.022
Petróleo gás e biocombustíveis,1.0,1.0,0.040508,0.040508,0.0,0.0,1.0,0.042508,0.002
Saúde,1.0,1.0,0.043152,0.043152,0.0,0.0,13.0,0.045152,0.002
Consumo cíclico,433.0,0.5127,-0.000853,-0.369361,-0.1821,-1.5626,4.9,0.496639,0.866
Tecnologia da informação,3.0,0.6667,-0.001811,-0.005433,-0.7158,-0.0473,5.0,0.000567,0.006
Utilidade pública,155.0,0.529,-0.005217,-0.808703,-1.1883,-1.0558,5.3,-0.498703,0.31
