ciclo_form,ano_trade,Ativo_A,Ativo_B,Setor_A,Setor_B,Mesmo_Setor,P_Value,Distancia,direcao,data_entrada,data_saida,dias_abertos,z_entrada,z_saida,beta_entrada,beta_saida,pnl_bruto,pnl_liquido,razao_saida
2010-2011,2012,CPFE3,ENBR3,Utilidade pública,Utilidade pública,True,2.2639787916065028e-07,3.3931411887418963,short,2012-01-02,2012-01-03,1,4.262624407673583,3.9741109248373196,0.9212340640414933,0.9416247137890501,-0.023444,-0.025444,stop_divergencia
2010-2011,2012,CPFE3,ENBR3,Utilidade pública,Utilidade pública,True,2.2639787916065028e-07,3.3931411887418963,short,2012-01-04,2012-01-10,4,2.842667239307041,0.17686900003035366,0.9559127024101578,0.97419137747798,0.028279,0.026279,convergencia
2010-2011,2012,CPFE3,ENBR3,Utilidade pública,Utilidade pública,True,2.2639787916065028e-07,3.3931411887418963,short,2012-09-12,2012-09-18,4,2.1935877183636774,-0.0475360815254697,0.9319484506204702,0.9412894645763094,0.02432,0.02232,convergencia
2010-2011,2012,CTAX4,LOGN3,Bens industriais,Bens industriais,True,0.0004278795162879252,4.677387250370244,short,2012-10-05,2012-10-09,2,2.1185861365397907,0.36015457159996095,0.09296740968809598,0.09802859187357148,0.057215,0.055215,convergencia
2010-2011,2012,CTAX4,LOGN3,Bens industriais,Bens industriais,True,0.0004278795162879252,4.677387250370244,short,2012-10-25,2012-11-05,6,2.7481030390680887,-0.048962328410034166,0.1111587662547497,0.12947446230275525,0.052663,0.050663,convergencia
2010-2011,2013,CTAX4,LOGN3,Bens industriais,Bens industriais,True,0.0004278795162879252,4.677387250370244,long,2013-06-18,2013-06-20,2,-2.9707826821641485,0.1293343800661133,0.08427983464554634,0.0812001155596022,0.115896,0.113896,convergencia
2010-2011,2013,CTAX4,LOGN3,Bens industriais,Bens industriais,True,0.0004278795162879252,4.677387250370244,long,2013-06-28,2013-07-12,9,-2.093944957598387,0.13670347577859154,0.08874942117933568,0.05401259231591475,-0.051986,-0.053986,convergencia
2010-2011,2013,CTAX4,LOGN3,Bens industriais,Bens industriais,True,0.0004278795162879252,4.677387250370244,short,2013-08-16,2013-08-23,5,2.405517006093795,0.11833507578707471,0.02595768607081763,0.04387531616814518,0.025686,0.023686,convergencia
2010-2011,2013,CTAX4,LOGN3,Bens industriais,Bens industriais,True,0.0004278795162879252,4.677387250370244,long,2013-11-26,2013-11-29,3,-2.1255283344764986,-0.11709686517659319,0.04664518864253115,0.04092262925492247,0.061999,0.059999,convergencia
2010-2011,2012,LREN3,RENT3,Consumo cíclico,Consumo cíclico,True,0.0010223230829223798,5.590263179185485,long,2012-01-02,2012-01-03,1,-4.327684149168442,-4.4391701367288485,0.9940961924997086,0.9668193405402336,-0.033432,-0.035432,stop_divergencia
2010-2011,2012,LREN3,RENT3,Consumo cíclico,Consumo cíclico,True,0.0010223230829223798,5.590263179185485,long,2012-01-04,2012-01-06,2,-2.8556499417348995,-0.25111195123297964,0.9544074577158548,0.9518741494154951,0.070774,0.068774,convergencia
2010-2011,2012,LREN3,RENT3,Consumo cíclico,Consumo cíclico,True,0.0010223230829223798,5.590263179185485,short,2012-05-02,2012-05-15,9,2.176832509300257,0.3518210496692592,0.9055462331647268,0.9266007314477553,-0.015614,-0.017614,convergencia
2010-2011,2012,LREN3,RENT3,Consumo cíclico,Consumo cíclico,True,0.0010223230829223798,5.590263179185485,short,2012-08-01,2012-08-03,2,2.1405471213558496,0.018619613319724972,0.8774824006587223,0.8750344890001818,0.06579,0.06379,convergencia
2010-2011,2012,LREN3,RENT3,Consumo cíclico,Consumo cíclico,True,0.0010223230829223798,5.590263179185485,short,2012-08-13,2012-08-17,4,2.142275140550371,-0.06682879136308817,0.8934240581367585,0.9002311284738953,0.046077,0.044077,convergencia
2010-2011,2012,BRPR3,GSHP3,Financeiro,Financeiro,True,0.0022741962063091083,3.5260664860449555,short,2012-01-02,2012-01-11,7,2.075400906736581,0.3682637000901512,0.4780540683355165,0.4723073769599846,0.026999,0.024999,convergencia
2010-2011,2012,BRPR3,GSHP3,Financeiro,Financeiro,True,0.0022741962063091083,3.5260664860449555,short,2012-02-28,2012-02-29,1,3.5617709581397192,4.294165691503212,0.47812318658353925,0.43900603951970574,-0.042233,-0.044233,stop_divergencia
2010-2011,2012,BRPR3,GSHP3,Financeiro,Financeiro,True,0.0022741962063091083,3.5260664860449555,short,2012-03-01,2012-03-02,1,3.6429991946796765,3.151037918805528,0.4137205939214227,0.3921583857520292,0.002672,0.000672,stop_divergencia
