Ativo_A,Ativo_B,N_Anos,P_Value_Min,P_Value_Med,Corr_Med
IGTA3,MULT3,5,0.000651,0.0215078,0.9732
CPFE3,EQTL3,4,0.005656,0.031767500000000004,0.9320250000000001
COGN3,LREN3,4,0.009586,0.02054775,0.924875
BBDC3,MULT3,4,0.01226,0.026694999999999997,0.896075
PETR3,PETR4,3,0.001124,0.020855000000000002,0.9955666666666666
BBAS3,CPFE3,3,0.001619,0.025466666666666665,0.9020666666666667
CPFE3,VBBR3,3,0.002386,0.01751633333333333,0.8598333333333333
MULT3,RENT3,3,0.003418,0.007979666666666668,0.9202
ITSA4,ITUB4,3,0.003728,0.02401266666666667,0.9900666666666668
ITSA4,MULT3,3,0.00439,0.012830666666666666,0.9100666666666667
BPAC11,ENGI11,3,0.007088,0.020048,0.9238333333333332
CPLE6,LREN3,3,0.00848,0.031007666666666666,0.9153666666666668
BRML3,CYRE3,3,0.012535,0.027393,0.9053
BBDC4,TIMS3,3,0.01324,0.035222,0.9481333333333334
BBSE3,MULT3,3,0.01464,0.024454666666666666,0.8901333333333333
B3SA3,LREN3,3,0.016655,0.033626666666666666,0.9208333333333334
GGBR4,GOAU4,3,0.027942,0.03030066666666667,0.9286
BBDC4,COGN3,3,0.046132,0.047388000000000007,0.8984
AMER3,YDUQ3,2,1.3e-05,0.024054,0.95475
BRFS3,COGN3,2,1.9e-05,0.020496999999999998,0.91455
IGTA3,MOTV3,2,2.9e-05,0.0202835,0.9399500000000001
ENBR3,GOLL54,2,6.2e-05,0.000896,0.92745
GGBR4,RENT3,2,8.5e-05,0.0231755,0.91435
BBDC3,BBSE3,2,9.5e-05,0.01569,0.9187000000000001
EGIE3,PSSA3,2,0.000115,0.0001335,0.8565499999999999
BBSE3,LREN3,2,0.000121,0.0004775,0.9289499999999999
LREN3,SBSP3,2,0.000147,0.021881,0.93235
HAPV3,MGLU3,2,0.000183,0.0232025,0.9475
DXCO3,MBRF3,2,0.000267,0.005036,0.9130499999999999
ABEV3,ITUB4,2,0.000288,0.016079499999999997,0.8793
AXIA6,ITUB4,2,0.000293,0.0045495,0.9188000000000001
ENGI11,RENT3,2,0.000363,0.00039349999999999997,0.9338500000000001
TAEE11,VIVT4,2,0.000547,0.0245725,0.93935
AXIA3,ITUB4,2,0.000575,0.017091,0.89775
ALOS3,BPAC11,2,0.00074,0.002529,0.97845
CVCB3,EQTL3,2,0.000843,0.0078695,0.8977
SBSP3,VBBR3,2,0.000878,0.0047825,0.914
ENGI11,LREN3,2,0.00099,0.019021999999999997,0.89775
COGN3,SBSP3,2,0.000991,0.021848,0.91235
BBSE3,CPFE3,2,0.00132,0.0229795,0.8558
CYRE3,EZTC3,2,0.001376,0.0083195,0.96635
GNDI3,HAPV3,2,0.001391,0.006958,0.9852000000000001
MOTV3,SBSP3,2,0.001548,0.0015509999999999999,0.9208000000000001
CPLE6,RAPT4,2,0.001672,0.013183,0.8893
BBDC3,CYRE3,2,0.001796,0.013776499999999999,0.9028
HGTX3,WEGE3,2,0.001804,0.0187845,0.8818999999999999
AURE3,IGTI11,2,0.001842,0.006826,0.8957999999999999
EQTL3,MULT3,2,0.001868,0.009193000000000002,0.91355
EZTC3,ITUB4,2,0.001949,0.0190105,0.879
ECOR3,TIMS3,2,0.002102,0.0169845,0.9184
GNDI3,MGLU3,2,0.002111,0.0085755,0.9037
AXIA6,ITSA4,2,0.002177,0.010811999999999999,0.89835
NEOE3,TIMS3,2,0.00229,0.0046195,0.9288
ENGI11,YDUQ3,2,0.002316,0.0107075,0.9170499999999999
AXIA3,DXCO3,2,0.002358,0.007948,0.84565
CPFE3,LREN3,2,0.002477,0.008671,0.84995
BRSR6,PCAR4,2,0.002502,0.025477999999999997,0.9257
BBDC3,LREN3,2,0.002555,0.00418,0.92435
BRML3,LREN3,2,0.00301,0.0058455,0.9437
MOTV3,RENT3,2,0.003151,0.0261135,0.8806499999999999
KLBN11,TOTS3,2,0.003302,0.0047355,0.8665
EZTC3,VIVT4,2,0.003416,0.019342500000000002,0.91245
MULT3,NEOE3,2,0.003483,0.0231875,0.91125
ECOR3,MULT3,2,0.003628,0.0174565,0.96425
ENEV3,MOTV3,2,0.003819,0.022888500000000003,0.9117500000000001
CSAN3,QUAL3,2,0.003962,0.0105675,0.84395
ECOR3,SBSP3,2,0.004281,0.009949,0.93895
FIBR3,MOTV3,2,0.004282,0.016366,0.91925
B3SA3,BBDC4,2,0.004362,0.024055999999999998,0.92805
B3SA3,BPAC11,2,0.004684,0.0154975,0.9406
COGN3,MULT3,2,0.004801,0.026775,0.95235
AMER3,RAIL3,2,0.004962,0.013813,0.8244
B3SA3,UGPA3,2,0.005146,0.0171535,0.9399
BBDC4,BRSR6,2,0.005335,0.0079035,0.9559500000000001
CSAN3,IRBR3,2,0.0056,0.0255475,0.8274
MRVE3,UGPA3,2,0.005623,0.022627500000000002,0.9305
AXIA6,B3SA3,2,0.005684,0.011255000000000001,0.89395
EGIE3,TIMS3,2,0.005867,0.022296,0.8567
ABEV3,EZTC3,2,0.006029,0.011365,0.8627
MOTV3,VBBR3,2,0.006105,0.0114475,0.8938999999999999
BRFS3,BRKM5,2,0.006133,0.0203845,0.88095
B3SA3,EGIE3,2,0.006271,0.007119,0.8837999999999999
COGN3,ITSA4,2,0.006285,0.027343,0.9560500000000001
AZUL54,CMIG4,2,0.006361,0.012952499999999999,0.9097500000000001
CPFE3,IGTA3,2,0.006375,0.0197455,0.8413999999999999
FLRY3,USIM5,2,0.006495,0.009093,0.9062
KLBN11,SUZB3,2,0.006618,0.026563,0.9641
AXIA6,DXCO3,2,0.006634,0.007126,0.86095
HYPE3,YDUQ3,2,0.006694,0.011255500000000002,0.8766499999999999
CSAN3,MRVE3,2,0.006805,0.026460499999999998,0.8753500000000001
MULT3,MYPK3,2,0.0072,0.011251,0.8521000000000001
BPAC11,IGTI11,2,0.007265,0.0125175,0.9277
BBSE3,CYRE3,2,0.007583,0.0096155,0.9243
AZUL54,CSMG3,2,0.007663,0.0255595,0.8451
CYRE3,MULT3,2,0.007707,0.0097825,0.9257500000000001
IGTA3,ITSA4,2,0.007995,0.013750499999999999,0.9047000000000001
AXIA3,B3SA3,2,0.008132,0.0083105,0.9049499999999999
ITUB4,MULT3,2,0.008356,0.015655,0.93695
HAPV3,VBBR3,2,0.00838,0.022592,0.93285
MDIA3,MOTV3,2,0.008405,0.0261375,0.8631
CPFE3,ENGI11,2,0.008436,0.013798000000000001,0.8919
BPAC11,MOTV3,2,0.008787,0.023385999999999997,0.9142
ENGI11,ITSA4,2,0.009047,0.012671,0.9661
AXIA3,ITSA4,2,0.00934,0.0158805,0.8807499999999999
MGLU3,VALE3,2,0.00947,0.0095785,0.88645
CMIG4,MBRF3,2,0.009518,0.0096055,0.9179999999999999
IGTA3,MYPK3,2,0.009554,0.0156905,0.8933
BBSE3,SBSP3,2,0.009866,0.0244755,0.90765
NATU3,VBBR3,2,0.010072,0.0219545,0.8882
LREN3,QUAL3,2,0.010352,0.025338,0.9333499999999999
MULT3,VIVT4,2,0.0105,0.030178,0.899
AURE3,MOTV3,2,0.010925,0.021823000000000002,0.85815
BBSE3,IGTA3,2,0.01102,0.0126605,0.8834500000000001
MDIA3,NATU3,2,0.01116,0.0196595,0.8769499999999999
AXIA3,BPAC11,2,0.011258,0.0120995,0.9047000000000001
RAIL3,YDUQ3,2,0.01138,0.0247075,0.874
OIBR3,QUAL3,2,0.011591,0.025092500000000004,0.8855
GNDI3,OIBR3,2,0.012083,0.013568,0.8280000000000001
COGN3,SEER3,2,0.012158,0.024851,0.88535
AZZA3,HYPE3,2,0.012255,0.018838,0.89195
LWSA3,RENT3,2,0.012434,0.0150205,0.8565499999999999
CPFE3,PETR3,2,0.012496,0.020206500000000002,0.9016500000000001
ENGI11,POMO4,2,0.012544,0.027537,0.8915500000000001
MULT3,YDUQ3,2,0.01274,0.022683500000000002,0.8678
BBDC4,ITSA4,2,0.012935,0.023113,0.982
RENT3,YDUQ3,2,0.013702,0.030484999999999998,0.8936
RENT3,VALE3,2,0.013708,0.0230375,0.83595
BHIA3,HAPV3,2,0.013824,0.030032000000000003,0.88205
CSMG3,RADL3,2,0.013925,0.028358,0.9448000000000001
BRML3,ITSA4,2,0.014113,0.0284145,0.86325
BRML3,YDUQ3,2,0.014305,0.020641,0.8963
IGTA3,ITUB4,2,0.014592,0.022398500000000002,0.8783000000000001
BBDC4,IGTI11,2,0.015365,0.0175665,0.9277
DXCO3,RENT3,2,0.016073,0.0193775,0.94525
BPAC11,SBSP3,2,0.016919,0.018202,0.9572
CPFE3,PETR4,2,0.017544,0.0210505,0.89335
ENGI11,MULT3,2,0.017905,0.026131500000000002,0.9054
EGIE3,MYPK3,2,0.018111,0.027444499999999997,0.88305
EGIE3,HYPE3,2,0.018879,0.024586,0.84895
MYPK3,VVAR11,2,0.019144,0.025732500000000002,0.9323
AZZA3,COGN3,2,0.019274,0.022515,0.9358500000000001
BBDC3,EZTC3,2,0.019697,0.0255375,0.8440000000000001
MOTV3,YDUQ3,2,0.019733,0.023863000000000002,0.8452999999999999
MOVI3,SMFT3,2,0.020734,0.0213345,0.8974
SMFT3,YDUQ3,2,0.02137,0.026964,0.89255
ITUB4,TIMS3,2,0.022043,0.030621,0.9336
FLRY3,UGPA3,2,0.022072,0.0293205,0.8795
CYRE3,VIVT4,2,0.022158,0.031101499999999997,0.92235
SAPR11,YDUQ3,2,0.023277,0.0286015,0.8822000000000001
UGPA3,VALE3,2,0.02351,0.026452999999999997,0.88895
AZUL54,EQTL3,2,0.024489,0.032159,0.9277
EZTC3,ITSA4,2,0.024563,0.027766,0.846
FLRY3,VIVT3,2,0.025747,0.037674,0.89825
MOTV3,SAUD3,2,0.025797,0.0356925,0.8741
BRKM5,VBBR3,2,0.025959,0.0328475,0.8441
AXIA6,BPAC11,2,0.026543,0.0349515,0.8951499999999999
MBRF3,QUAL3,2,0.026965,0.031358,0.9107000000000001
BBDC4,MULT3,2,0.027355,0.0376835,0.88285
BBAS3,ITSA4,2,0.028286,0.0301605,0.9344
IGTA3,YDUQ3,2,0.028529,0.036008,0.8748499999999999
IGTI11,MULT3,2,0.028725,0.0326235,0.90835
CYRE3,MOTV3,2,0.032673,0.0344255,0.92555
FIBR3,SAUD3,2,0.032805,0.032885,0.8567
MRVE3,VIVT4,2,0.035533,0.039978,0.90075
BRML3,CIEL3,2,0.035777,0.04084550000000001,0.86745
MULT3,UGPA3,2,0.039745,0.0397845,0.8762
BPAC11,ITUB4,2,0.044496,0.0470295,0.86775
CSMG3,CTIP3,1,0.0,0.0,0.972
IGTA3,RUMO3,1,0.0,0.0,0.833
PCAR3,YDUQ3,1,0.0,0.0,0.8032
RADL3,SMLS3,1,0.0,0.0,0.953
BBSE3,EQTL3,1,1e-06,1e-06,0.9741
MULT3,RUMO3,1,2e-06,2e-06,0.8112
EMBJ3,RUMO3,1,3e-06,3e-06,0.8937
SBFG3,YDUQ3,1,5e-06,5e-06,0.9461
LREN3,RUMO3,1,1.8e-05,1.8e-05,0.8541
RENT3,STBP3,1,2.1e-05,2.1e-05,0.9382
BBDC3,MYPK3,1,2.4e-05,2.4e-05,0.8398
BBDC3,BEEF3,1,2.6e-05,2.6e-05,0.8559
MDIA3,RUMO3,1,2.8e-05,2.8e-05,0.9202
CIEL3,VIVT4,1,3e-05,3e-05,0.9027
HYPE3,NEOE3,1,3.1e-05,3.1e-05,0.8632
AXIA3,BBAS3,1,3.7e-05,3.7e-05,0.9633
LEVE3,TOTS3,1,3.7e-05,3.7e-05,0.8403
COGN3,SMLS3,1,3.8e-05,3.8e-05,0.9692
CMIN3,RAIL3,1,3.9e-05,3.9e-05,0.9206
CYRE3,UGPA3,1,5.8e-05,5.8e-05,0.9085
ENBR3,LREN3,1,5.8e-05,5.8e-05,0.9241
LREN3,TAEE11,1,6e-05,6e-05,0.9648
FLRY3,RUMO3,1,7e-05,7e-05,0.9107
SBSP3,SMLS3,1,7.3e-05,7.3e-05,0.9425
CSMG3,RUMO3,1,7.7e-05,7.7e-05,0.9087
LREN3,SMLS3,1,8e-05,8e-05,0.9577
COGN3,TIMS3,1,8.6e-05,8.6e-05,0.9196
CPLE3,CPLE6,1,9.5e-05,9.5e-05,0.9861
CPFE3,RUMO3,1,0.00011,0.00011,0.8595
GOAU4,RENT3,1,0.000117,0.000117,0.9635
BBDC4,MYPK3,1,0.000122,0.000122,0.8969
LCAM3,RENT3,1,0.000126,0.000126,0.9911
CSAN3,ENEV3,1,0.000135,0.000135,0.9729
MULT3,SMLS3,1,0.000138,0.000138,0.9356
GGBR4,LCAM3,1,0.000174,0.000174,0.9709
PRIO3,UGPA3,1,0.00018,0.00018,0.8981
MGLU3,SULA11,1,0.000186,0.000186,0.9644
CBAV3,RDOR3,1,0.000187,0.000187,0.9092
RENT3,USIM5,1,0.000195,0.000195,0.9534
HAPV3,VALE3,1,0.000206,0.000206,0.9222
IGTI11,ISAE4,1,0.000206,0.000206,0.8734
BBSE3,ITSA4,1,0.000217,0.000217,0.9483
BRSR6,ITSA4,1,0.000233,0.000233,0.9791
EQTL3,POSI3,1,0.000238,0.000238,0.8971
LREN3,VLID3,1,0.00024,0.00024,0.9133
ABEV3,DAGB33,1,0.000258,0.000258,0.8054
HYPE3,SAPR11,1,0.000259,0.000259,0.8538
CVCB3,RAIZ4,1,0.000262,0.000262,0.9548
RADL3,RUMO3,1,0.000263,0.000263,0.8247
LREN3,TEND3,1,0.000266,0.000266,0.9673
EQTL3,RUMO3,1,0.000267,0.000267,0.8874
ABEV3,WEGE3,1,0.000281,0.000281,0.967
DXCO3,MDIA3,1,0.000296,0.000296,0.9107
ABEV3,SEDU3,1,0.000309,0.000309,0.8283
GOAU4,LCAM3,1,0.000333,0.000333,0.9702
AXIA6,BBAS3,1,0.000344,0.000344,0.9568
ENBR3,YDUQ3,1,0.000348,0.000348,0.9089
CURY3,WEGE3,1,0.000351,0.000351,0.9528
BPAN4,VBBR3,1,0.000357,0.000357,0.9437
EGIE3,GFSA3,1,0.000369,0.000369,0.8068
COGN3,RUMO3,1,0.00038,0.00038,0.8821
MGLU3,SANB11,1,0.000384,0.000384,0.9846
GOLL54,POMO4,1,0.000407,0.000407,0.9304
AUAU3,BRKM5,1,0.000417,0.000417,0.8123
AXIA3,JHSF3,1,0.000422,0.000422,0.9141
AMER3,COGN3,1,0.00043,0.00043,0.9365
BBDC4,YDUQ3,1,0.000435,0.000435,0.8599
LCAM3,LREN3,1,0.000442,0.000442,0.9743
HYPE3,TIMS3,1,0.000451,0.000451,0.8323
AMER3,ITUB3,1,0.000455,0.000455,0.9355
BBSE3,TAEE11,1,0.000456,0.000456,0.9645
