Ano,Ativo_A,Ativo_B,Correlacao,P_Value,Alpha,Beta,Spread_Mu,Spread_Sigma
2015,ABEV3,CRUZ3,0.8058,0.042433,1.076398,0.439807,-0.0,0.030015
2015,ABEV3,DAGB33,0.8054,0.000258,-0.405469,0.476416,0.0,0.030037
2015,ABEV3,ENBR3,0.8007,0.003358,1.922547,0.291465,-0.0,0.030362
2015,ABEV3,GRND3,0.8108,0.001698,2.096233,0.514065,-0.0,0.029665
2015,ABEV3,JBSS3,0.8261,0.008173,1.819566,0.299136,-0.0,0.028559
2015,ABEV3,KLBN11,0.8157,0.01147,1.879807,0.256264,0.0,0.029315
2015,ABEV3,SEDU3,0.8283,0.000309,1.202432,0.510125,0.0,0.028395
2015,ABEV3,SUZB5,0.8087,0.002253,1.877668,0.226926,-0.0,0.029811
2015,ABEV3,UGPA3,0.8889,0.00242,1.112045,0.438274,-0.0,0.023216
2015,ALSC3,BEEF3,-0.8837,0.045521,4.120418,-0.811162,-0.0,0.077744
2015,ALSC3,MBRF3,-0.8965,0.002989,3.432509,-0.817053,0.0,0.073584
2015,ALSC3,MOTV3,0.8881,0.018478,-1.046549,1.577592,0.0,0.076358
2015,ALSC3,MYPK3,-0.9206,0.000593,4.736871,-1.004592,0.0,0.064866
2015,AMER3,BBAS3,0.8494,0.040751,5.563491,1.183978,-0.0,0.103271
2015,AMER3,CMIG4,0.9058,0.03082,7.059192,0.661996,-0.0,0.082906
2015,AMER3,ITSA4,0.8634,0.010306,5.89537,1.858559,-0.0,0.098736
2015,AMER3,MBRF3,-0.8194,0.025274,8.431226,-0.879703,-0.0,0.112172
2015,ANIM3,CESP6,0.8578,0.026606,-4.032671,2.104316,-0.0,0.143546
2015,ANIM3,CMIG4,0.8119,0.046784,0.929039,0.846848,0.0,0.163028
2015,ANIM3,MDIA3,0.8561,0.012923,-4.365699,1.939481,-0.0,0.144354
2015,ANIM3,NATU3,0.8908,0.00098,-3.556751,2.066076,-0.0,0.12692
2015,BBAS3,CESP6,0.8917,0.042358,-1.250648,1.09961,-0.0,0.063554
2015,BBAS3,CMIG4,0.9226,0.013211,1.314246,0.483723,0.0,0.054162
2015,BBAS3,CPFE3,0.9326,0.001619,-1.186332,1.288056,-0.0,0.050671
2015,BBDC3,BEEF3,-0.8559,2.6e-05,2.648629,-0.378239,0.0,0.041366
2015,BBDC3,BRSR6,0.8738,0.004556,1.557134,0.279171,0.0,0.038888
2015,BBDC3,CYRE3,0.8504,0.025757,1.201849,0.455282,0.0,0.042088
2015,BBDC3,EZTC3,0.8224,0.031378,1.062626,0.504566,-0.0,0.045498
2015,BBDC3,GOAU4,0.8624,0.004804,1.829079,0.116002,0.0,0.040492
2015,BBDC3,IGTA3,0.8649,0.028598,0.015152,0.61754,-0.0,0.04015
2015,BBDC3,MULT3,0.8914,0.019756,-0.01609,0.787525,-0.0,0.036254
2015,BBDC3,MYPK3,-0.8398,2.4e-05,2.87751,-0.441235,0.0,0.043419
2015,BBDC3,OIBR4,0.825,0.043666,1.055563,0.151208,-0.0,0.0452
2015,BBDC3,PCAR4,0.9033,0.002918,0.63815,0.301293,-0.0,0.034311
2015,BBDC3,QUAL3,0.8298,0.024267,0.929046,0.406375,0.0,0.04463
2015,BBDC3,VIVT4,0.8836,0.012256,-0.630478,0.744443,0.0,0.037455
2015,BBDC3,VVAR11,0.8498,0.010259,1.653265,0.118187,0.0,0.042159
2015,BBDC4,BRSR6,0.9311,0.010472,1.260751,0.486993,-0.0,0.047761
2015,BBDC4,MBRF3,-0.8435,0.016526,2.543552,-0.605923,0.0,0.070334
2015,BBDC4,MYPK3,-0.8969,0.000122,3.567862,-0.771473,-0.0,0.057903
2015,BBDC4,OIBR4,0.9304,0.005339,0.296909,0.279187,-0.0,0.047982
2015,BBDC4,PCAR4,0.9578,0.012231,-0.331332,0.523009,-0.0,0.03764
