Ativo,Janelas,Rank_Medio,Volume_Acum_MM
PETR4,11,1.5454545454545454,3714865.086646
ITUB4,11,2.909090909090909,2023477.190998
VALE3,11,3.5454545454545454,3465276.695941
BBDC4,11,4.2727272727272725,1610815.4591050001
BBAS3,11,6.636363636363637,1230790.5940720001
B3SA3,11,7.2727272727272725,1148602.084715
PETR3,11,8.454545454545455,998633.7585585001
ABEV3,11,8.909090909090908,936367.959748
ITSA4,11,16.0,643947.965492
LREN3,11,17.181818181818183,615621.609318
GGBR4,11,17.90909090909091,590640.458414
RENT3,11,21.363636363636363,680103.538617
BRFS3,11,21.727272727272727,462427.78653399996
BBSE3,11,29.636363636363637,388962.149977
EQTL3,11,29.818181818181817,421527.677479
AXIA3,11,30.636363636363637,555203.417378
RADL3,11,32.18181818181818,351424.52248499996
CSNA3,11,32.45454545454545,403188.20042
WEGE3,11,32.90909090909091,523027.938191
NATU3,11,33.81818181818182,416951.65458293003
USIM5,11,34.63636363636363,372223.525668
SBSP3,11,34.81818181818182,425178.85411
COGN3,11,35.09090909090909,383644.66759799997
UGPA3,11,36.45454545454545,308526.176132
EMBJ3,11,36.63636363636363,388411.095957
MOTV3,11,37.09090909090909,298344.274226
CMIG4,11,37.90909090909091,294663.334341
CSAN3,11,40.36363636363637,307901.560412
HYPE3,11,43.18181818181818,258542.78639
KLBN11,11,44.0,263293.490829
MULT3,11,45.09090909090909,249668.66572999998
BBDC3,11,47.27272727272727,240244.587745
GOAU4,11,47.36363636363637,239490.63405259
CYRE3,11,50.36363636363637,251731.385058
BRKM5,11,52.54545454545455,217419.54778599998
BRAP4,11,53.81818181818182,215749.047667
YDUQ3,11,54.54545454545455,199813.612905
TIMS3,11,54.90909090909091,212705.95792000002
TOTS3,11,55.72727272727273,236615.197209
MRVE3,11,58.09090909090909,193091.138935
AXIA6,11,58.18181818181818,201292.63733
MBRF3,11,58.72727272727273,233917.721761
SANB11,11,60.27272727272727,184239.59268499998
CPLE6,11,61.54545454545455,197650.710123
CVCB3,11,65.63636363636364,187159.655517
TAEE11,11,66.0909090909091,156308.09666542002
EGIE3,11,67.27272727272727,145380.394895
PSSA3,11,75.45454545454545,122281.806076
JBSS3,10,18.7,540280.350902
MGLU3,10,20.3,923573.275439
CIEL3,10,31.2,345716.618695
CPFE3,10,63.7,153496.935549
ENGI11,10,64.1,189340.948573
BEEF3,10,74.5,143241.285046
RAIL3,9,23.11111111111111,431283.466617
AZUL54,9,43.55555555555556,334441.98077102
AMER3,9,50.0,293597.575864
GOLL54,9,52.333333333333336,205770.21212900002
ENBR3,9,72.33333333333333,100733.659274
ISAE4,9,72.55555555555556,88358.355151
FLRY3,9,77.33333333333333,96832.410609
DXCO3,9,88.44444444444444,66983.900594
SUZB3,8,12.875,638942.492114
VBBR3,8,27.5,366393.755978
BPAC11,8,29.125,498920.585194
HAPV3,8,33.5,407513.519067
BRML3,8,37.375,200901.191338
IRBR3,8,53.5,262170.585331
QUAL3,8,55.125,127499.16768
SULA11,8,63.25,133954.99679200002
