Ano,N_Ativos,Candidatos_Corr,Pares_Cointegrados,Dias_Pregao,Volume_Total_MM,Top1,Top2,Top3
2015,99,598,162,229,1411043.6082613098,ABEV3,ALSC3,AMER3
2016,100,1905,256,241,1544956.2489617602,ABEV3,AESB3,ALSC3
2017,99,1101,174,170,1754757.884307,ABEV3,AESB3,ALUP11
2018,98,472,94,225,2528663.39388659,ABEV3,AMER3,AXIA3
2019,100,1167,223,248,3448821.2677639993,ABEV3,ALPA4,AMER3
2020,100,1225,313,200,5709692.257927999,ABEV3,ALOS3,ALPA4
2021,99,526,110,186,6142727.505357499,ABEV3,ALPA4,AMER3
2022,99,463,109,249,5574894.7005572,ABEV3,ALPA4,AMER3
2023,99,620,82,248,4622918.541591,ABEV3,ALOS3,ALPA4
2024,99,373,78,216,4301446.91788235,ABEV3,AESB3,ALOS3
2025,98,1259,148,219,4163974.04303502,ABEV3,ALOS3,ALUP11
